guid,PortraitTexture,PremiumPortraitMaterial,PremiumUberShaderAnimation,PremiumPortraitTexture,SignaturePortraitTexture,SignaturePortraitMaterial,SignatureUberShaderAnimation
CS2_059,W5_015_D,CS2_059_PremiumCard_new,,,,,
CS2_061,R3_005_D,CS2_061_PremiumCard_new,,,,,
CS2_062,W2_240_D,CS2_062_PremiumCard_new,,,,,
CS2_063,W8_179_D,CS2_063_PremiumCard_new,,,,,
CS2_064,WOW_ACT_111_D,CS2_064_PremiumCard_new,,,,,
CS2_065,W10_A133_D,CS2_065_PremiumCard_new,,,,,
CS2_072,WoW_CHI_003_D,CS2_072_PremiumCard,,,,,
CS2_073,W13_270_D,CS2_073_PremiumCard,,,,,
CS2_073e2,W13_270_D,,,,,,
CS2_074,WOW_ACT_035_D,CS2_074_PremiumCard,,,,,
CS2_075,wow_chi_021_D,CS2_075_PremiumCard,,,,,
CS2_076,WOW_SPE_011(a)_D,CS2_076_PremiumCard,,,,,
CS2_077,W2_301_D,CS2_077_PremiumCard,,,,,
CS2_080,W8_014_D,CS2_080_PremiumCard,,,,,
CS2_082,W13_160_D,CS2_082_PremiumCard,,,,,
CS2_082_H1,W13_160_D,CS2_082_PremiumCard,,,,,
CS2_083b_H1,W10_A163_D,CS2_083b_PremiumCard,,,,,
CS2_084,W2_221_D,CS2_084_PremiumCard,,,,,
CS2_087,W16_a053_D,CS2_087_PremiumCard,,,,,
CS2_088,W20_a046_D,CS2_088_PremiumCard,,,,,
CS2_089,W11_048(EA)_D,CS2_089_PremiumCard,,,,,
CS2_091,W7_197_D,CS2_091_PremiumCard,,,,,
CS2_092,W9_A075_D,CS2_092_PremiumCard,,,,,
CS2_093,W8_174_D,CS2_093_PremiumCard,,,,,
CS2_094,R6_a091_D,CS2_094_PremiumCard,,,,,
CS2_097,WOW_EQU_010_D,CS2_097_PremiumCard,,,,,
CS2_101_H1,WOW_PAR_039_hp_D,CS2_101_PremiumCard,,,,,
CS2_101_H1_AT_132,Paladin_power2_D,CS2_101_PremiumCard,,,,,
CS2_101_H2,WOW_PAR_039_hp_D,CS2_101_PremiumCard,,,,,
CS2_101_H2_AT_132,Paladin_power2_D,CS2_101_PremiumCard,,,,,
CS2_101_H3,WOW_PAR_039_hp_D,CS2_101_PremiumCard,,,,,
CS2_101_H3_AT_132,Paladin_power2_D,CS2_101_PremiumCard,,,,,
CS2_101_H4,WOW_PAR_039_hp_D,CS2_101_PremiumCard,,,,,
CS2_101t,WOW_PAR_039_min_D,CS2_101t_PremiumCard,,,,,
CS2_101t2,HS30-109_M,CS2_101t2_PremiumCard,CS2_101t2_PremiumCard,HS30-109_M_Premium,,,
CS2_101t3,HS30-110_M,,,,,,
CS2_101t4,HS30-111_M,CS2_101t4_PremiumCard,CS2_101t4_PremiumCard,HS30-111_M_Premium,,,
CS2_101t5,HS30-112_M,CS2_101t5_PremiumCard,CS2_101t5_PremiumCard,HS30-112_M_Premium,,,
CS2_101t6,HS30-113_M,CS2_101t6_PremiumCard,CS2_101t6_PremiumCard,HS30-113_M_Premium,,,
CS2_101t7,HS30-114_M,CS2_101t7_PremiumCard,CS2_101t7_PremiumCard,HS30-114_M_Premium,,,
CS2_101t8,HS30-115_M,CS2_101t8_PremiumCard,CS2_101t8_PremiumCard,HS30-115_M_Premium,,,
CS2_102_H1,w14_a208_D,CS2_102_PremiumCard,,,,,
CS2_102_H1_AT_132,Warrior_power2_D,AT_132_WARRIOR_PremiumCard,,,,,
CS2_102_H3,w14_a208_D,CS2_102_PremiumCard,,,,,
CS2_102_H3_AT_132,Warrior_power2_D,AT_132_WARRIOR_PremiumCard,,,,,
CS2_102_H4,w14_a208_D,CS2_102_PremiumCard,,,,,
CS2_102_H4_AT_132,Warrior_power2_D,AT_132_WARRIOR_PremiumCard,,,,,
CS2_103,WOW_ACT_055_D,CS2_103_PremiumCard,,,,,
CS2_104,W6_075_D,CS2_104_PremiumCard,,,,,
CS2_105,W11_045_D,CS2_105_PremiumCard,,,,,
CS2_106,W14_a200_D,CS2_106_PremiumCard,,,,,
CS2_108,WoW_Chi_061_D,CS2_108_PremiumCard,,,,,
CS2_112,WOW_EQU_001_D,CS2_112_PremiumCard,,,,,
CS2_114,wow_par_083_D,CS2_114_PremiumCard,,,,,
CS2_117,W10_A005_D,CS2_117_PremiumCard,,,,,
CS2_118,W14_a249_D,CS2_118_PremiumCard,,,,,
CS2_119,W14_a012_D,CS2_119_PremiumCard,,,,,
CS2_120,W9_A160_D,CS2_120_PremiumCard,,,,,
CS2_121,W15_A233_D,CS2_121_PremiumCard,,,,,
CS2_122,WOW_BLZ_003_D,CS2_122_PremiumCard,,,,,
CS2_124,W11_116_D,CS2_124_PremiumCard,,,,,
CS2_125,W6_239_D,CS2_125_PremiumCard,,,,,
CS2_127,W5_041_D,CS2_127_PremiumCard,,,,,
CS2_131,WOW_CHE_027_D,CS2_131_PremiumCard,,,,,
CS2_141,climbing_D,CS2_141_PremiumCard,,,,,
CS2_142,W15_A215_D,CS2_142_PremiumCard,,,,,
CS2_146,R7_a019_D,CS2_146_PremiumCard,,,,,
CS2_147,W7_031_D,CS2_147_PremiumCard,,,,,
CS2_150,W2_089_D,CS2_150_PremiumCard,,,,,
CS2_151,W9_A091_D,CS2_151_PremiumCard,,,,,
CS2_152,W7_200_D,CS2_152_PremiumCard,,,,,
CS2_155,W9_A130_D,CS2_155_PremiumCard,,,,,
CS2_161,W10_A098_D,CS2_161_PremiumCard,,,,,
CS2_162,W14_a158_D,CS2_162_PremiumCard,,,,,
CS2_168,Bestiary-final_D,CS2_168_PremiumCard,,,,,
CS2_169,W15_A037_D,CS2_169_PremiumCard,,,,,
CS2_171,W9_a043_D,CS2_171_PremiumCard,,,,,
CS2_172,WOW_SPE_004_D,CS2_172_PremiumCard,,,,,
CS2_173,W16_a206_D,CS2_173_PremiumCard,,,,,
CS2_179,W3_018_D,CS2_179_PremiumCard,,,,,
CS2_181,blademaster_D,CS2_181_PremiumCard,,,,,
CS2_182,WOW_ACT_105_D,CS2_182_PremiumCard,,,,,
CS2_186,WOW_LEAD_043_D,CS2_186_PremiumCard,,,,,
CS2_187,W7_183_D,CS2_187_PremiumCard,,,,,
CS2_188,W2_326_D,CS2_188_PremiumCard,,,,,
CS2_189,W10_A109_D,CS2_189_PremiumCard,,,,,
CS2_196,W8_018_D,CS2_196_PremiumCard,,,,,
CS2_197,W8_148_D,CS2_197_PremiumCard,,,,,
CS2_200,W17_a123_D,CS2_200_PremiumCard,,,,,
CS2_201,W2_054_D,CS2_201_PremiumCard,,,,,
CS2_203,W4_280_D,CS2_203_PremiumCard,,,,,
CS2_213,Goblinrocket2_D,CS2_213_PremiumCard,,,,,
CS2_221,W2_319_D,CS2_221_PremiumCard,,,,,
CS2_222,W13_007_D,CS2_222_PremiumCard,,,,,
CS2_226,W11_084(EA)_D,CS2_226_PremiumCard,,,,,
CS2_227,W14_a099_D,CS2_227_PremiumCard,,,,,
CS2_231,W2_332_D,CS2_231_PremiumCard,,,,,
CS2_232,WoW_Clo_006_BlizzRT_D,CS2_232_PremiumCard,,,,,
CS2_233,W6_054_D,CS2_233_PremiumCard,,,,,
CS2_234,W10_A233_D,CS2_234_PremiumCard,,,,,
CS2_235,W4_268_D,CS2_235_PremiumCard_new,,,,,
CS2_236,W6_073_D,CS2_236_PremiumCard,,,,,
CS2_237,W4_026_D,CS2_237_PremiumCard,,,,,
CS2_boar,W8_018a_D,CS2_boar_PremiumCard,,,,,
CS2_mirror,R6_a078_D,CS2_mirror_PremiumCard,,,,,
CS2_tk1,WoW_LEAD_015a_D,CS2_tk1_PremiumCard_new,,,,,
CS3_001,CLA-020_M,CS3_001_PremiumCard,CS3_001_PremiumCard,,,,
CS3_002,CLA-036_S,CS3_002_PremiumCard,CS3_002_PremiumCard,,,,
CS3_002t,CLA-037_M,CS3_002t_PremiumCard,CS3_002t_PremiumCard,,,,
CS3_003,CLA-023_M,CS3_003_PremiumCard,CS3_003_PremiumCard,,,,
CS3_005,CLA-024_M,CS3_005_PremiumCard,CS3_005_PremiumCard,,,,
CS3_007,CLA-027_M,CS3_007_PremiumCard,CS3_007_PremiumCard,,,,
CS3_008,CLA-031_M,CS3_008_PremiumCard,CS3_008_PremiumCard,,,,
CS3_009,CLA-032_S,CS3_009_PremiumCard,CS3_009_PremiumCard,,,,
CS3_012,CLA-025_M,CS3_012_PremiumCard,CS3_012_PremiumCard,,,,
CS3_013,CLA-021_M,CS3_013_PremiumCard,CS3_013_PremiumCard,,,,
CS3_014,CLA-022_M,CS3_014_PremiumCard,CS3_014_PremiumCard,,,,
CS3_015,CLA-030_M,CS3_015_PremiumCard,CS3_015_PremiumCard,,,,
CS3_016,CLA-038_S,CS3_016_PremiumCard,CS3_016_PremiumCard,CLA-038_S_Premium,,,
CS3_017,CLA-039_M,CS3_017_PremiumCard,CS3_017_PremiumCard,,,,
CS3_019,CLA-041_M,CS3_019_PremiumCard,CS3_019_PremiumCard,,,,
CS3_020,CLA-040_M,CS3_020_PremiumCard,CS3_020_PremiumCard,,,,
CS3_021,CLA-035_M,CS3_021_PremiumCard,CS3_021_PremiumCard,,,,
CS3_022,CLA-044_M,CS3_022_PremiumCard,CS3_022_PremiumCard,CLA-044_M_Premium,,,
CS3_024,CLA-033_M,CS3_024_PremiumCard,CS3_024_PremiumCard,,,,
CS3_025,CLA-034_M,CS3_025_PremiumCard,CS3_025_PremiumCard,,,,
CS3_027,CLA-043_S,CS3_027_PremiumCard,CS3_027_PremiumCard,,,,
CS3_028,CLA-046_S,CS3_028_PremiumCard,CS3_028_PremiumCard,,,,
CS3_029,CLA-047_S,CS3_029_PremiumCard,CS3_029_PremiumCard,,,,
CS3_030,CLA-048_M,CS3_030_PremiumCard,CS3_030_PremiumCard,,,,
CS3_031,CLA-049_M,CS3_031_PremiumCard,CS3_031_PremiumCard,,,,
CS3_032,CLA-050_M,CS3_032_PremiumCard,CS3_032_PremiumCard,CLA-050_M_Premium,,,
CS3_033,CLA-051_M,CS3_033_PremiumCard,CS3_033_PremiumCard,CLA-051_M_Premium,,,
CS3_034,CLA-052_M,CS3_034_PremiumCard,CS3_034_PremiumCard,,,,
CS3_035,CLA-053_M,CS3_035_PremiumCard,CS3_035_PremiumCard,CLA-053_M_Premium,,,
CS3_036,CLA-054_M,CS3_036_PremiumCard,CS3_036_PremiumCard,,,,
CS3_037,W5_261_M,CS3_037_PremiumCard,CS3_037_PremiumCard,,,,
CS3_038,W16_a023_M,CS3_038_PremiumCard,CS3_038_PremiumCard,,,,
DALA_501,HS16-215,,,,,,
DALA_502,HS16-220,,,,,,
DALA_502e,HS16-220,,,,,,
DALA_503,HS16-218,,,,,,
DALA_504,HS16-217,,,,,,
DALA_700,HS14-307,,,,,,
DALA_701,w17_a140,,,,,,
DALA_701e,w17_a140,,,,,,
DALA_702,HS14-247,,,,,,
DALA_702e,HS14-247,,,,,,
DALA_703,HS9-049,,,,,,
DALA_704,W12_a165_D,,,,,,
DALA_705,HS16-328,,,,,,
DALA_706,HS16-329,,,,,,
DALA_707,HS14-314,,,,,,
DALA_708,HS12-255,,,,,,
DALA_709,HS16-330,,,,,,
DALA_711,W14_a248,,,,,,
DALA_712,HS12-254,,,,,,
DALA_713,HS14-315,,,,,,
DALA_714,HS13-013,,,,,,
DALA_714a,HS13-013a,,,,,,
DALA_714b,HS13-013b,,,,,,
DALA_714c,HS13-013c,,,,,,
DALA_715,HS14-160,,,,,,
DALA_715e,HS14-160,,,,,,
DALA_716,HS14-253,,,,,,
DALA_716t,HS14-310,,,,,,
DALA_717,HS14-248,,,,,,
DALA_718,w21_a200,,,,,,
DALA_719,w15_a175,,,,,,
DALA_720,HS13-221,,,,,,
DALA_721,HS14-231,,,,,,
DALA_722,HS14-242,,,,,,
DALA_723,HS14-309,,,,,,
DALA_724,HS14-233,,,,,,
DALA_724e,HS14-233,,,,,,
DALA_725,HS14-208,,,,,,
DALA_725e,HS14-208,,,,,,
DALA_726,HS14-234,,,,,,
DALA_727,HS14-209,,,,,,
DALA_727e,HS14-209,,,,,,
DALA_728,HS14-205,,,,,,
DALA_729,HS16-221,,,,,,
DALA_730,HS14-313,,,,,,
DALA_731,HS14-246,,,,,,
DALA_731e,HS14-246,,,,,,
DALA_733,HS14-245,,,,,,
DALA_733e2,HS14-245,,,,,,
DALA_735,HS3-045,,,,,,
DALA_735e,HS3-045,,,,,,
DALA_735e2,HS3-045,,,,,,
DALA_735e3,HS3-045,,,,,,
DALA_736,HS14-237,,,,,,
DALA_737,HS11-222,,,,,,
DALA_737e,HS11-222,,,,,,
DALA_738,HS16-331,,,,,,
DALA_739,w20_a227,,,,,,
DALA_740,HS16-332,,,,,,
DALA_741,HS16-333,,,,,,
DALA_743,HS16-005,,,,,,
DALA_744,HS13-357,,,,,,
DALA_744e2,HS16-016,,,,,,
DALA_745,HS16-334,,,,,,
DALA_746,HS12-061,,,,,,
DALA_747,HS12-062,,,,,,
DALA_748,HS12-064,,,,,,
DALA_800,Random_Legendary_Spell,,,,,,
DALA_801,Random_Legendary_Spell,,,,,,
DALA_802,Random_Legendary_Spell,,,,,,
DALA_803,Random_Legendary_Spell,,,,,,
DALA_804,Random_Legendary_Spell,,,,,,
DALA_805,Random_Legendary_Spell,,,,,,
DALA_806,Random_Legendary_Spell,,,,,,
DALA_807,Random_Legendary_Spell,,,,,,
DALA_808,Random_Legendary_Spell,,,,,,
DALA_829,Adv_DAL_StoryModeCoverSpell,,,,,,
DALA_829t,W3_167,,,,,,
DALA_830,Adv_DAL_StoryModeCoverSpell,,,,,,
DALA_831,Adv_DAL_StoryModeCoverSpell,,,,,,
DALA_831e2,Adv_DAL_StoryModeCoverSpell,,,,,,
DALA_832,Adv_DAL_StoryModeCoverSpell,,,,,,
DALA_832t,HS16-361 ,,,,,,
DALA_833,Adv_DAL_StoryModeCoverSpell,,,,,,
DALA_833t,HS17-252a ,,,,,,
DALA_833t2,HS17-252b ,,,,,,
DALA_833t3,HS17-252c ,,,,,,
DALA_833t4,HS17-252d,,,,,,
DALA_850,HS16-359,,,,,,
DALA_851,HS16-359,,,,,,
DALA_852,HS16-359,,,,,,
DALA_853,HS16-359,,,,,,
DALA_854,HS16-359,,,,,,
DALA_855,HS16-359,,,,,,
DALA_856,HS16-359,,,,,,
DALA_857,HS16-359,,,,,,
DALA_858,HS16-359,,,,,,
DALA_859,HS16-359,,,,,,
DALA_860,HS16-359,,,,,,
DALA_861,HS16-359,,,,,,
DALA_861e2,HS16-359,,,,,,
DALA_862,HS16-359,,,,,,
DALA_863,HS16-359,,,,,,
DALA_864,HS16-359,,,,,,
DALA_865,HS16-359,,,,,,
DALA_866,HS16-359,,,,,,
DALA_867,HS16-359,,,,,,
DALA_901,HS16-335,,,,,,
DALA_902,HS16-336,,,,,,
DALA_903,HS16-337,,,,,,
DALA_903e,HS16-337,,,,,,
DALA_904,HS16-338,,,,,,
DALA_905,HS16-339,,,,,,
DALA_905e,HS16-339,,,,,,
DALA_906,HS16-340,,,,,,
DALA_907,HS16-341,,,,,,
DALA_908,HS16-342,,,,,,
DALA_909,HS16-343,,,,,,
DALA_910,HS16-344,,,,,,
DALA_911,HS16-345,,,,,,
DALA_912,HS16-346,,,,,,
DALA_913,HS16-347,,,,,,
DALA_913e,HS16-347,,,,,,
DALA_914,HS16-348,,,,,,
DALA_914e,HS16-348,,,,,,
DALA_BOSS_01h,HS16-201,,,,,,
DALA_BOSS_01p,HS16-400,,,,,,
DALA_BOSS_01px,HS16-400,,,,,,
DALA_BOSS_02h,HS16-202,,,,,,
DALA_BOSS_02p,HS16-401,,,,,,
DALA_BOSS_02px,HS16-401,,,,,,
DALA_BOSS_03e,HS16-301a,,,,,,
DALA_BOSS_03h,HS16-300,,,,,,
DALA_BOSS_03p,HS16-402,,,,,,
DALA_BOSS_03px,HS16-402,,,,,,
DALA_BOSS_03t,HS16-301a,,,,,,
DALA_BOSS_03t2,HS16-301b,,,,,,
DALA_BOSS_03t3,HS16-301c,,,,,,
DALA_BOSS_03t4,HS16-301d,,,,,,
DALA_BOSS_04h,HS16-204,,,,,,
DALA_BOSS_04p,HS16-403,,,,,,
DALA_BOSS_05h,HS16-235,,,,,,
DALA_BOSS_05p,HS16-404,,,,,,
DALA_BOSS_06dk,HS16-302,,,,,,
DALA_BOSS_06h,HS16-303,,,,,,
DALA_BOSS_06p,HS16-405,,,,,,
DALA_BOSS_06px,HS16-405,,,,,,
DALA_BOSS_07e,HS16-406,,,,,,
DALA_BOSS_07h,HS16-236,,,,,,
DALA_BOSS_07p,HS16-406,,,,,,
DALA_BOSS_07p2,HS16-406,,,,,,
DALA_BOSS_08h,HS16-207,,,,,,
DALA_BOSS_08p,HS16-407,,,,,,
DALA_BOSS_08px,HS16-407,,,,,,
DALA_BOSS_09h,HS16-304,,,,,,
DALA_BOSS_09p,HS16-408,,,,,,
DALA_BOSS_09px,HS16-408,,,,,,
DALA_BOSS_10h,HS16-219,,,,,,
DALA_BOSS_10p,HS16-409,,,,,,
DALA_BOSS_10px,HS16-409,,,,,,
DALA_BOSS_11e,HS16-410,,,,,,
DALA_BOSS_11ex,HS16-410,,,,,,
DALA_BOSS_11h,HS16-233,,,,,,
DALA_BOSS_11p,HS16-410,,,,,,
DALA_BOSS_11px,HS16-410,,,,,,
DALA_BOSS_12h,HS16-205,,,,,,
DALA_BOSS_12p,HS16-411,,,,,,
DALA_BOSS_12px,HS16-411,,,,,,
DALA_BOSS_13h,HS16-206,,,,,,
DALA_BOSS_13p,HS16-412,,,,,,
DALA_BOSS_14h,HS16-305,,,,,,
DALA_BOSS_14p,HS16-413,,,,,,
DALA_BOSS_14px,HS16-413,,,,,,
DALA_BOSS_14t,HS16-216,,,,,,
DALA_BOSS_15h,HS16-227,,,,,,
DALA_BOSS_15p,HS16-414,,,,,,
DALA_BOSS_16h,HS16-228,,,,,,
DALA_BOSS_16p,HS16-415,,,,,,
DALA_BOSS_16px,HS16-415,,,,,,
DALA_BOSS_17h,HS16-229,,,,,,
DALA_BOSS_17p,HS16-416,,,,,,
DALA_BOSS_18h,w16_a132,,,,,,
DALA_BOSS_18p,HS16-417,,,,,,
DALA_BOSS_18px,HS16-417,,,,,,
DALA_BOSS_19h,HS16-232,,,,,,
DALA_BOSS_19p,HS16-418,,,,,,
DALA_BOSS_19px,HS16-418,,,,,,
DALA_BOSS_20h,w16_a143,,,,,,
DALA_BOSS_20p,HS16-419,,,,,,
DALA_BOSS_20px,HS16-419,,,,,,
DALA_BOSS_21h,HS16-214,,,,,,
DALA_BOSS_21p,HS16-420,,,,,,
DALA_BOSS_22ex,HS16-421,,,,,,
DALA_BOSS_22h,HS16-231,,,,,,
DALA_BOSS_22p,HS16-421,,,,,,
DALA_BOSS_22px,HS16-421,,,,,,
DALA_BOSS_23h,HS16-213,,,,,,
DALA_BOSS_23p,HS16-422,,,,,,
DALA_BOSS_23px,HS16-422,,,,,,
DALA_BOSS_24e,HS16-423,,,,,,
DALA_BOSS_24h,HS16-237,,,,,,
DALA_BOSS_24p,HS16-423,,,,,,
DALA_BOSS_24px,HS16-423,,,,,,
DALA_BOSS_25e,HS16-424,,,,,,
DALA_BOSS_25h,HS16-224A,,,,,,
DALA_BOSS_25p,HS16-424,,,,,,
DALA_BOSS_25px,HS16-424,,,,,,
DALA_BOSS_25t,HS16-211,,,,,,
DALA_BOSS_26h,HS16-226,,,,,,
DALA_BOSS_26p,HS16-425,,,,,,
DALA_BOSS_26px,HS16-425,,,,,,
DALA_BOSS_27h,HS16-208,,,,,,
DALA_BOSS_27p,HS16-426,,,,,,
DALA_BOSS_28e,HS16-427,,,,,,
DALA_BOSS_28h,w18_a042,,,,,,
DALA_BOSS_28p,HS16-427,,,,,,
DALA_BOSS_29h,HS16-209,,,,,,
DALA_BOSS_29p,HS16-428,,,,,,
DALA_BOSS_30h,HS16-306,,,,,,
DALA_BOSS_30p,HS16-429,,,,,,
DALA_BOSS_30t,HS16-306A,,,,,,
DALA_BOSS_31e,HS16-430,,,,,,
DALA_BOSS_31ex,HS16-430,,,,,,
DALA_BOSS_31h,HS16-307,,,,,,
DALA_BOSS_31p,HS16-430,,,,,,
DALA_BOSS_31px,HS16-430,,,,,,
DALA_BOSS_32e3,HS16-431,,,,,,
DALA_BOSS_32h,HS16-308,,,,,,
DALA_BOSS_32p,HS16-431,,,,,,
DALA_BOSS_33h,HS16-021A,,,,,,
DALA_BOSS_33p,HS16-432,,,,,,
DALA_BOSS_34h,HS16-210,,,,,,
DALA_BOSS_34p,HS16-433,,,,,,
DALA_BOSS_35h,y7_a006,,,,,,
DALA_BOSS_35p,HS16-434,,,,,,
DALA_BOSS_35px,HS16-434,,,,,,
DALA_BOSS_36h,HS16-212,,,,,,
DALA_BOSS_36p,HS16-435,,,,,,
DALA_BOSS_36px,HS16-435,,,,,,
DALA_BOSS_37h,HS16-309,,,,,,
DALA_BOSS_37p,HS16-436,,,,,,
DALA_BOSS_37px,HS16-436,,,,,,
DALA_BOSS_38h,HS16-310,,,,,,
DALA_BOSS_38p,HS16-437,,,,,,
DALA_BOSS_38px,HS16-437,,,,,,
DALA_BOSS_38t,W7_203,,,,,,
DALA_BOSS_39e,HS16-438,,,,,,
DALA_BOSS_39h,HS16-035A,,,,,,
DALA_BOSS_39p,HS16-438,,,,,,
DALA_BOSS_40h,HS16-311,,,,,,
DALA_BOSS_40p,HS16-439,,,,,,
DALA_BOSS_40px,HS16-439,,,,,,
DALA_BOSS_41h,HS16-234,,,,,,
DALA_BOSS_41p,HS16-440,,,,,,
DALA_BOSS_41px,HS16-440,,,,,,
DALA_BOSS_42h,HS14-301,,,,,,
DALA_BOSS_42p,HS16-441,,,,,,
DALA_BOSS_42px,HS16-441,,,,,,
DALA_BOSS_43h,w19_a053,,,,,,
DALA_BOSS_43p,HS16-442,,,,,,
DALA_BOSS_44e,HS16-443,,,,,,
DALA_BOSS_44ex,HS16-443,,,,,,
DALA_BOSS_44h,HS16-238,,,,,,
DALA_BOSS_44p,HS16-443,,,,,,
DALA_BOSS_44px,HS16-443,,,,,,
DALA_BOSS_45h,HS16-239,,,,,,
DALA_BOSS_45p,HS16-444,,,,,,
DALA_BOSS_45px,HS16-444,,,,,,
DALA_BOSS_46h,HS16-240,,,,,,
DALA_BOSS_46p,HS16-445,,,,,,
DALA_BOSS_46px,HS16-445,,,,,,
DALA_BOSS_47h,HS16-241,,,,,,
DALA_BOSS_47p,HS16-446,,,,,,
DALA_BOSS_47px,HS16-446,,,,,,
DALA_BOSS_47t,HS10-197,,,,,,
DALA_BOSS_48e,HS16-447,,,,,,
DALA_BOSS_48h,HS16-242,,,,,,
DALA_BOSS_48p,HS16-447,,,,,,
DALA_BOSS_48t,w10_a232,,,,,,
DALA_BOSS_49h,HS16-243,,,,,,
DALA_BOSS_49p,HS16-448,,,,,,
DALA_BOSS_49px,HS16-448,,,,,,
DALA_BOSS_50h,HS16-122,,,,,,
DALA_BOSS_50p,HS16-449,,,,,,
DALA_BOSS_50px,HS16-449,,,,,,
DALA_BOSS_51h,HS16-312,,,,,,
DALA_BOSS_51p,HS16-450,,,,,,
DALA_BOSS_51t,HS16-313,,,,,,
DALA_BOSS_51t2,HS14-249,,,,,,
DALA_BOSS_52e,HS16-451,,,,,,
DALA_BOSS_52ex,HS16-451,,,,,,
DALA_BOSS_52h,HS16-314,,,,,,
DALA_BOSS_52p,HS16-451,,,,,,
DALA_BOSS_52px,HS16-451,,,,,,
DALA_BOSS_53e,HS16-452,,,,,,
DALA_BOSS_53h,HS16-315,,,,,,
DALA_BOSS_53p,HS16-452,,,,,,
DALA_BOSS_53px,HS16-452,,,,,,
DALA_BOSS_54h,HS16-222,,,,,,
DALA_BOSS_54p,HS16-453,,,,,,
DALA_BOSS_55h,HS16-316,,,,,,
DALA_BOSS_55p,HS16-454,,,,,,
DALA_BOSS_55px,HS16-454,,,,,,
DALA_BOSS_56e,HS16-455,,,,,,
DALA_BOSS_56h,HS16-317,,,,,,
DALA_BOSS_56p,HS16-455,,,,,,
DALA_BOSS_56t,HS16-223,,,,,,
DALA_BOSS_57h,HS16-318,,,,,,
DALA_BOSS_57p,HS16-456,,,,,,
DALA_BOSS_58e,HS16-457,,,,,,
DALA_BOSS_58h,HS16-319,,,,,,
DALA_BOSS_58p,HS16-457,,,,,,
DALA_BOSS_58t,HS14-304,,,,,,
DALA_BOSS_58t2,HS14-303,,,,,,
DALA_BOSS_59h,HS9-169,,,,,,
DALA_BOSS_59p,HS16-458,,,,,,
DALA_BOSS_59px,HS16-458,,,,,,
DALA_BOSS_59t,HS9-083,,,,,,
DALA_BOSS_59t2,HS9-078,,,,,,
DALA_BOSS_59t3,HS9-047,,,,,,
DALA_BOSS_60h,HS16-321,,,,,,
DALA_BOSS_60p,HS16-459,,,,,,
DALA_BOSS_60px,HS16-459,,,,,,
DALA_BOSS_61h,HS16-136A,,,,,,
DALA_BOSS_61p,HS16-460,,,,,,
DALA_BOSS_61t,w21_a151,,,,,,
DALA_BOSS_62e,w21_a151,,,,,,
DALA_BOSS_62ex,w21_a151,,,,,,
DALA_BOSS_62h,w21_a101,,,,,,
DALA_BOSS_62p,HS16-461,,,,,,
DALA_BOSS_62px,HS16-461,,,,,,
DALA_BOSS_63h,HS16-230,,,,,,
DALA_BOSS_63p,HS16-462,,,,,,
DALA_BOSS_63px,HS16-462,,,,,,
DALA_BOSS_64e,HS16-463,,,,,,
DALA_BOSS_64h,HS16-323,,,,,,
DALA_BOSS_64p,HS16-463,,,,,,
DALA_BOSS_64px,HS16-463,,,,,,
DALA_BOSS_65h,HS16-324,,,,,,
DALA_BOSS_65p,HS16-464,,,,,,
DALA_BOSS_66h,HS16-325,,,,,,
DALA_BOSS_66p,HS16-465,,,,,,
DALA_BOSS_67h,HS16-073A,,,,,,
DALA_BOSS_67p,HS16-466,,,,,,
DALA_BOSS_68h,HS16-037A,,,,,,
DALA_BOSS_68p,HS16-467,,,,,,
DALA_BOSS_68px,HS16-467,,,,,,
DALA_BOSS_69h,HS16-326,,,,,,
DALA_BOSS_69p,HS16-468,,,,,,
DALA_BOSS_69px,HS16-468,,,,,,
DALA_BOSS_70e,HS16-469,,,,,,
DALA_BOSS_70h,HS16-327,,,,,,
DALA_BOSS_70p,HS16-469,,,,,,
DALA_BOSS_70px,HS16-469,,,,,,
DALA_BOSS_71h,r8_a081,,,,,,
DALA_BOSS_71p,HS16-470,,,,,,
DALA_BOSS_71px,HS16-470,,,,,,
DALA_BOSS_72h,w4_302,,,,,,
DALA_BOSS_72p,HS16-471,,,,,,
DALA_BOSS_73e,HS16-471,,,,,,
DALA_BOSS_73ex,HS16-471,,,,,,
DALA_BOSS_73h,w16_a170,,,,,,
DALA_BOSS_73p,HS16-472,,,,,,
DALA_BOSS_73px,HS16-472,,,,,,
DALA_BOSS_74h,tp9_a045,,,,,,
DALA_BOSS_74p,HS16-473,,,,,,
DALA_BOSS_74px,HS16-473,,,,,,
DALA_BOSS_75h,w16_a087,,,,,,
DALA_BOSS_75p,HS16-474,,,,,,
DALA_BOSS_98h,HS16-360,,,,,,
DALA_BOSS_99h,HS16-349,,,,,,
DALA_Barkeye,HS16-354,,,,,,
DALA_Chu,HS16-350,,,,,,
DALA_Druid_HP1,HS16-475,,,,,,
DALA_Druid_HP2,HS16-476,,,,,,
DALA_Druid_HP2e,HS16-476,,,,,,
DALA_Eudora,HS16-352,,,,,,
DALA_George,HS16-353,,,,,,
DALA_Hunter_HP1,HS16-477,,,,,,
DALA_Hunter_HP2,HS16-478,,,,,,
DALA_Hunter_HP2e,HS16-478,,,,,,
DALA_Hunter_HP2t,HS16-479,,,,,,
DALA_Hunter_HPe,HS16-479,,,,,,
DALA_Kriziki,HS16-358,,,,,,
