guid,dbfid,cardname
DALA_714,55858,THE... Candles?
DALA_714a,55859,THE... Candles?
DALA_714b,55860,THE... Candles?
DALA_714c,55861,THE... Candles?
DALA_715,55852,Overpowered
DALA_715e,55854,Overpowered
DALA_716,54021,Fly-By
DALA_716t,54023,Kadoom Bot
DALA_717,54005,Case Study
DALA_718,55481,Elistra the Immortal
DALA_719,55615,Soulreaper's Scythe
DALA_720,54400,Swampqueen's Call
DALA_721,55351,Duplatransmogrifier
DALA_722,54401,Annoy-o Horn
DALA_723,54402,Hyperblaster
DALA_723e,56345,Hyperblaster Enchantment
DALA_724,55349,Big Boomba
DALA_724d,56352,Big Boomba Dummy Effects
DALA_724e,55350,Big Boomba Player Enchantment
DALA_725,54403,Banana Split
DALA_725e,54404,Glowing Green
DALA_726,55348,Master Scheme
DALA_727,54405,Sow the Seeds
DALA_727e,54406,Seeds Sown
DALA_728,55871,Recycling
DALA_728d,56150,Recycling Dummy Effects
DALA_728e,55872,Recycling Player Enchantment
DALA_729,54407,Dagwik Stickytoe
DALA_730,55482,Murgatha
DALA_731,54457,Rocket Backpacks
DALA_731e,54458,Rocket Backpacks Player Enchantment
DALA_731e2,54459,Rocket Backpack
DALA_733,54460,Emerald Goggles
DALA_733e,54461,Emerald Goggles Player Enchantment
DALA_733e2,54462,Emerald Goggles
DALA_735,54464,Robes of Gaudiness
DALA_735e,54465,Robes of Gaudiness Player Enchantment
DALA_735e2,54466,Robes of Gaudiness
DALA_735e3,55558,Too Gaudy
DALA_736,55869,Stargazing
DALA_736e,55870,Stargazing Player Enchant
DALA_737,54467,Resourcefulness
DALA_737e,56500,E.V.I.L. Upgrade
DALA_738,54468,A Prince's Ring
DALA_738e,57108,A Prince's Ring Enchantment
DALA_739,54469,Book of Wonders
DALA_740,55500,Wondrous Wisdomball
DALA_740e,55501,Wondrous Wisdomball Player Enchantment
DALA_740e2,55502,Wondrous Wisdomball Ice Block
DALA_740e3,55553,Wondrous Wisdomball Extra Spellcast
DALA_740ts,56408,Wondrous Wisdomball Copy Cards Tokenspell
DALA_740ts2,56409,Wondrous Wisdomball Empty Hand Tokenspell
DALA_740ts3,56422,Wondrous Wisdomball Free Minions Tokenspell
DALA_740ts4,56433,Wondrous Wisdomball Random Legendary Tokenspell
DALA_740ts5,56716,Wondrous Wisdomball Summon Taunts Tokenspell
DALA_741,54470,Togwaggle's Dice
DALA_741e,54471,Togwaggle's Dice Player Enchantment
DALA_741e2,56350,Roll the Dice
DALA_743,54474,Dr. Boom's Remote
DALA_743e,56187,Sleepy
DALA_744,54485,Hagatha's Embrace
DALA_744d,56261,Hagatha's Embrace Dummy Effects
DALA_744e,54486,Hagatha's Embrace Player Enchantment
DALA_744e2,54487,Hagatha's Embrace
DALA_745,54476,The Hand of Rafaam
DALA_746,54479,Elixir of Vigor
DALA_746d,56353,Elixir of Vigor Dummy
DALA_746e,54480,Elixir of Vigor Player Enchantment
DALA_747,54481,Elixir of Vim
DALA_747e,54482,Elixir of Vim Player Enchantment
DALA_748,54483,Elixir of Vile
DALA_748e,54484,Elixir of Vile Player Enchantment
DALA_800,53306,Random Mage Deck
DALA_801,53311,Random Druid Deck
DALA_802,53319,Random Hunter Deck
DALA_803,53322,Random Paladin Deck
DALA_804,53323,Random Priest Deck
DALA_805,53324,Random Rogue Deck
DALA_806,53325,Random Shaman Deck
DALA_807,53326,Random Warlock Deck
DALA_808,53327,Random Warrior Deck
DALA_829,55455,Twist - The Coffers
DALA_829t,55689,Cache of Cash
DALA_830,56961,Twist - The Finale
DALA_831,53404,Twist - The Stench
DALA_831e,54563,Undesirable Stench Player Enchantment
DALA_831e2,55902,Stinky
DALA_832,53405,Twist - The Prisons
DALA_832t,55690,Violet Prison
DALA_833,53406,Twist - The Carts
DALA_833t,54565,Fruit Cart
DALA_833t2,55921,Fish Cart
DALA_833t3,55922,Meat Cart
DALA_833t4,56803,Dessert Cart
DALA_850,55878,Anomaly - Arcane
DALA_850e,55879,Anomaly - Arcane Player Enchantment
DALA_851,55881,Anomaly - Summons
DALA_851e,55882,Anomaly - Summons Player Enchantment
DALA_852,55884,Anomaly - Crying
DALA_852e,55886,Anomaly - Crying Player Enchantment
DALA_853,55888,Anomaly - Rattling
DALA_853e,55887,Anomaly - Rattling Player Enchantment
DALA_854,55912,Anomaly - Nesting
DALA_854e,55913,Anomaly - Nesting Player Enchantment
DALA_854e2,55914,Nested
DALA_854e3,55915,Popped Out
DALA_855,55889,Anomaly - Refreshing
DALA_855e,55890,Anomaly - Refreshing Player Enchantment
DALA_856,55891,Anomaly - Wild Magic
DALA_856e,55892,Anomaly - Wild Magic Player Enchantment
DALA_857,55916,Anomaly - Glittering
DALA_857e,55917,Anomaly - Glittering Player Enchantment
DALA_858,55893,Anomaly - Fishy
DALA_858e,55894,Anomaly - Fishy Player Enchantment
DALA_859,55895,Anomaly - Gorged
DALA_860,55896,Anomaly - Dragon Soul
DALA_860e,55928,Anomaly - Dragon Soul Player Enchantment
DALA_861,55897,Anomaly - Ogreish
DALA_861e,55898,Anomaly - Ogreish Player Enchantment
DALA_861e2,57219,Ogreish
DALA_862,56473,Anomaly - Reductive
DALA_862e,56533,Anomaly - Reductive Player Enchantment
DALA_863,56475,Anomaly - Hallucinating
DALA_864,55899,Anomaly - Growing
DALA_864e,55900,Anomaly - Growing Player Enchantment
DALA_864e2,55901,Growth Anomaly
DALA_865,56477,Anomaly - Explosive
DALA_865e,56797,Anomaly - Explosive Player Enchantment
DALA_865e2,56798,Explosive
DALA_866,56476,Anomaly - Rejuvenating
DALA_866e,56805,Anomaly - Rejuvenating Player Enchantment
DALA_867,55923,Anomaly - Infused
DALA_867e,55924,Anomaly - Infused Player Enchantment
DALA_901,54607,Recruit
DALA_902,54608,Dismiss
DALA_903,54609,Take a Chance
DALA_903e,55138,Lucky!
DALA_904,54611,Good Food
DALA_905,54612,Right Hand Man
DALA_905e,56283,Right Hand Man
DALA_906,54613,Round of Drinks
DALA_906e,56287,Merriment
DALA_907,54614,Recruit a Veteran
DALA_908,54615,Tell a Story
DALA_908e,55137,Stories Told
DALA_909,54616,You're All Fired!
DALA_910,54617,The Gang's All Here!
DALA_911,54618,Kindle
DALA_912,54619,Brood
DALA_913,54620,Tall Tales
DALA_913e,55139,Gossip
DALA_914,54621,The Upper Hand
DALA_914e,55603,The Upper Hand
DALA_BOSS_01h,53750,Chomper
DALA_BOSS_01p,53751,Chomp
DALA_BOSS_01px,55987,Chomp
DALA_BOSS_02h,53779,"Awilo, Cooking Trainer"
DALA_BOSS_02p,53781,The Feast
DALA_BOSS_02px,55988,The Feast
DALA_BOSS_03e,56255,Reductomara'd
DALA_BOSS_03h,53667,The Great Akazamzarak
DALA_BOSS_03p,53668,Prestidigitation
DALA_BOSS_03px,55989,Prestidigitation
DALA_BOSS_03t,54071,Reductomara
DALA_BOSS_03t2,54072,Bunnifitronus
DALA_BOSS_03t3,54073,Presto Legendaro
DALA_BOSS_03t3e,56354,Presto Legendaro Marker
DALA_BOSS_03t4,54074,Yoggers Poggers
DALA_BOSS_04h,53558,Kaye Toogie
DALA_BOSS_04p,53559,Open Wormhole
DALA_BOSS_05h,53572,"The Amazing ""Bonepaw"""
DALA_BOSS_05p,53573,Mana Echoes
DALA_BOSS_06dk,54434,"""Scourgelord"" Dazzik"
DALA_BOSS_06h,53636,"Dazzik ""Hellscream"""
DALA_BOSS_06p,53640,"""Armor Up"""
DALA_BOSS_06px,55990,"""Tank Up!"""
DALA_BOSS_07e,55319,Flying!
DALA_BOSS_07h,53607,Flight Master Belnaara
DALA_BOSS_07p,54078,Take Flight!
DALA_BOSS_07p2,56700,Flying!
DALA_BOSS_08h,53309,Applebough
DALA_BOSS_08p,53308,Apple Toss
DALA_BOSS_08px,55991,Apple Toss
DALA_BOSS_09h,53562,Archivist Oshi
DALA_BOSS_09p,53563,Repeat History
DALA_BOSS_09px,55992,Repeat History
DALA_BOSS_10h,53483,Mo Eniwhiskers
DALA_BOSS_10p,53484,Street Smarts
DALA_BOSS_10px,56359,Street Smarts
DALA_BOSS_11e,53720,Backstabby
DALA_BOSS_11ex,55994,Backstabby
DALA_BOSS_11h,53714,Noz Timbertail
DALA_BOSS_11p,53716,Backstabber
DALA_BOSS_11px,55993,Backstabber
DALA_BOSS_12h,53783,Cravitz Lorent
DALA_BOSS_12p,53784,Forbidden Love
DALA_BOSS_12px,56321,Forbidden Love
DALA_BOSS_13h,53734,Albin Eastoft
DALA_BOSS_13p,53735,Slice and Dice
DALA_BOSS_14h,53637,Tierra Blythe
DALA_BOSS_14p,53638,Order Up!
DALA_BOSS_14px,55995,Order Up!
DALA_BOSS_14t,53639,"""Kind"" Waitress"
DALA_BOSS_15h,53567,Moon Priestess Nici
DALA_BOSS_15p,54099,Blessing of Elune
DALA_BOSS_16e,55980,Equivalent Exchange Marker
DALA_BOSS_16h,53568,Alchemist Wendy
DALA_BOSS_16p,53569,Equivalent Exchange
DALA_BOSS_16px,55996,Equivalent Exchange
DALA_BOSS_17h,53571,Tala Stonerage
DALA_BOSS_17p,54101,Twin Paths
DALA_BOSS_18h,53528,Disidra Stormglory
DALA_BOSS_18p,53665,Totemic Summons
DALA_BOSS_18px,55997,Totemic Summons
DALA_BOSS_19h,53776,Linzi Redgrin
DALA_BOSS_19p,53777,Lil' Eviscerate
DALA_BOSS_19px,55998,Lil' Eviscerate
DALA_BOSS_20h,53521,Vas'no
DALA_BOSS_20p,54105,Stormswell
DALA_BOSS_20px,55999,Stormswell
DALA_BOSS_21h,53560,Whirt the All-Knowing
DALA_BOSS_21p,53561,Prediction
DALA_BOSS_22ex,56001,Shushed
DALA_BOSS_22h,53538,Bookmaster Bae Chao
DALA_BOSS_22p,53539,Shhh!
DALA_BOSS_22px,56000,Shhh!
DALA_BOSS_23h,53673,Sharky McFin
DALA_BOSS_23p,53674,Sharkbite
DALA_BOSS_23px,56002,Sharkbite
DALA_BOSS_24e,53758,Ar'ha's Call Player Enchantment
DALA_BOSS_24h,53583,Ranger Ar'ha
DALA_BOSS_24p,53757,Ar'ha's Call
DALA_BOSS_24px,56003,Ar'ha's Call
DALA_BOSS_25e,53701,Toyification
DALA_BOSS_25h,53541,Jepetto Joybuzz
DALA_BOSS_25p,53542,Assembly
DALA_BOSS_25px,56004,Assembly
DALA_BOSS_25t,53873,Hoard of Toys
DALA_BOSS_26h,53566,Dalaran Fountain Golem
DALA_BOSS_26p,54106,Cold Water
DALA_BOSS_26px,56005,Cold Water
DALA_BOSS_27h,53599,Rasil Fireborne
DALA_BOSS_27p,53600,Masterpiece!
DALA_BOSS_28e,56186,Savvy
DALA_BOSS_28h,53880,Xur'ios
DALA_BOSS_28p,53881,Scroll Savvy
DALA_BOSS_29h,53584,Mama Diggs
DALA_BOSS_29p,53585,Excavate
DALA_BOSS_30h,53601,The Rat King
DALA_BOSS_30p,53602,A Tale of Kings
DALA_BOSS_30t,53603,Underbelly Rat
DALA_BOSS_31e,53608,Blinged Out!
DALA_BOSS_31ex,56008,Blinged Out!
DALA_BOSS_31h,53587,Timothy Jones
DALA_BOSS_31p,53588,Bling it On!
DALA_BOSS_31px,56007,Bling it On!
DALA_BOSS_32e1,53630,Nondescript Fade
DALA_BOSS_32e2,53642,Intrusive Pompadour
DALA_BOSS_32e3,53643,Incredible Quiff
DALA_BOSS_32e4,53645,Aggressive Mohawk
DALA_BOSS_32h,53624,Kizi Copperclip
DALA_BOSS_32p,53626,Makeover
DALA_BOSS_33h,53564,Gold Elemental
DALA_BOSS_33p,53565,Made of Coins
DALA_BOSS_34h,53802,Carousel Gryphon
DALA_BOSS_34p,53803,Merry Go Round
DALA_BOSS_35h,53622,Soothsayer Zoie
DALA_BOSS_35p,53623,Healing Hands
DALA_BOSS_35px,56010,Healing Hands
DALA_BOSS_36h,53629,Draemus
DALA_BOSS_36p,55320,"Import ""Pet"""
DALA_BOSS_36px,56013,"Import ""Pet"""
DALA_BOSS_36t,55321,Exotic Pet
DALA_BOSS_37h,53810,Ol' Toomba
DALA_BOSS_37p,53811,Tales of Fortune
DALA_BOSS_37px,56014,Tales of Fortune
DALA_BOSS_38h,53815,Tipsi Wobblerune
DALA_BOSS_38p,53816,Portal Party
DALA_BOSS_38px,56015,Portal Party
DALA_BOSS_38t,55862,PARTY PORTAL!
DALA_BOSS_39e,53819,Light-imbued
DALA_BOSS_39h,53817,Aki the Brilliant
DALA_BOSS_39p,53818,For The Light!
DALA_BOSS_40h,53820,Oxana Demonslay
DALA_BOSS_40p,53821,Immolation Aura
DALA_BOSS_40px,56018,Immolation Aura
DALA_BOSS_41h,53870,Ungan Oddkind
DALA_BOSS_41p,53871,Summon Companion
DALA_BOSS_41px,56020,Summon Companions
DALA_BOSS_42h,53903,P.O.G.O.
DALA_BOSS_42p,53904,Pogoshuffle
DALA_BOSS_42px,56021,Pogoshuffle
DALA_BOSS_43h,54155,Magistrix Norroa
DALA_BOSS_43p,54156,Kaironomaly
DALA_BOSS_44e,54305,Forseen
DALA_BOSS_44ex,56024,Forseen
DALA_BOSS_44h,54303,Erekem
DALA_BOSS_44p,54304,Dark Tidings
DALA_BOSS_44px,56023,Dark Tidings
DALA_BOSS_45h,54293,Moragg
DALA_BOSS_45p,54294,Ray of Suffering
DALA_BOSS_45px,56025,Ray of Suffering
DALA_BOSS_46h,53604,Ichoron
DALA_BOSS_46p,53605,Protective Bubble
DALA_BOSS_46px,56026,Protective Bubble
DALA_BOSS_47h,53597,Lavanthor
DALA_BOSS_47p,53598,Lava Belch
DALA_BOSS_47px,56027,Lava Belch
DALA_BOSS_47t,54295,Molten Rock
DALA_BOSS_48e,54297,Voided
DALA_BOSS_48h,53594,Zuramat the Obliterator
DALA_BOSS_48p,53595,To The Void
DALA_BOSS_48t,54298,Void Shift
DALA_BOSS_49h,53592,Cyanigosa
DALA_BOSS_49p,53593,Uncontrollable Energy
DALA_BOSS_49px,56028,Uncontrollable Energy
DALA_BOSS_50h,54299,Nozari
DALA_BOSS_50p,54300,Sand Breath
DALA_BOSS_50px,56029,Sand Breath
DALA_BOSS_51h,54306,Millificent Manastorm
DALA_BOSS_51p,54307,Tinker
DALA_BOSS_51t,54308,Elementium Squirrel Bomb
DALA_BOSS_51t2,54309,Thorium Chicken
DALA_BOSS_52e,54435,Hold Fast!
DALA_BOSS_52ex,56031,Hold Fast!
DALA_BOSS_52h,54334,Lieutenant Sinclari
DALA_BOSS_52p,54335,Hold the Gates!
DALA_BOSS_52px,56030,Hold the Gates!
DALA_BOSS_53e,53621,Boogie Beyond
DALA_BOSS_53h,53556,Dancin' Deryl
DALA_BOSS_53p,53557,Boogie Woogie
DALA_BOSS_53px,56032,Boogie Woogie
DALA_BOSS_54h,54336,Locksmith Zibb
DALA_BOSS_54p,54337,Spell Lock
DALA_BOSS_55h,54338,Captain Hannigan
DALA_BOSS_55p,54339,Raise the Alarm
DALA_BOSS_55px,56033,Raise the Alarm
DALA_BOSS_56e,55135,Bribed
DALA_BOSS_56h,54340,Queen Wagtoggle
DALA_BOSS_56p,54341,Bribery
DALA_BOSS_56t,54436,Rival Accomplice
DALA_BOSS_57e,56191,Tracking Coin Played Enchantment
DALA_BOSS_57h,54342,Trade Prince Gallywix
DALA_BOSS_57p,54343,Greed is Good
DALA_BOSS_58e,54367,Blast Powder
DALA_BOSS_58e2,54500,Wire Watcher Player Enchantment
DALA_BOSS_58h,54344,Boommaster Flark
DALA_BOSS_58p,54345,Blast Powder
DALA_BOSS_58t,54451,The Wire
DALA_BOSS_58t2,54452,The Other Wire
DALA_BOSS_59e,55176,Payday
DALA_BOSS_59h,54346,Madam Goya
DALA_BOSS_59p,54347,Blackmail
DALA_BOSS_59px,56034,Blackmail
DALA_BOSS_59t,54453,Lotus Bruiser
DALA_BOSS_59t2,54454,Fruit Slasher
DALA_BOSS_59t3,54455,Extortion
DALA_BOSS_60h,54348,Archmage Khadgar
DALA_BOSS_60p,54349,Summon Elemental
DALA_BOSS_60px,56035,Summon Elemental
DALA_BOSS_61h,54350,Sael'orn
DALA_BOSS_61p,54351,Web Grab
DALA_BOSS_61t,54456,Phase Spider
DALA_BOSS_62e,54382,Darkened
DALA_BOSS_62ex,57054,Darkened
DALA_BOSS_62h,54352,Haro Setting-Sun
DALA_BOSS_62p,54353,Darken
DALA_BOSS_62px,56036,Darken
DALA_BOSS_63h,54354,Dagg Cruelmight
DALA_BOSS_63p,54355,Bully
DALA_BOSS_63px,56037,Bully
DALA_BOSS_64e,54366,Capital Gains
DALA_BOSS_64h,54356,Banker Biggs
DALA_BOSS_64p,54357,Invest!
DALA_BOSS_64px,56256,Invest!
DALA_BOSS_65h,54358,Valdera Highborne
DALA_BOSS_65p,54359,Impervious
DALA_BOSS_66h,54360,Marei Loom
DALA_BOSS_66p,54361,Next...
DALA_BOSS_67h,54437,Archmage Vargoth
DALA_BOSS_67p,54438,Arcane Runes
DALA_BOSS_68h,54439,Lilayell Suntear
DALA_BOSS_68p,54440,Mini Portal
DALA_BOSS_68px,56038,Mega Portal
DALA_BOSS_69h,54362,Archmage Kalec
DALA_BOSS_69p,54363,Dragonwrath
DALA_BOSS_69px,56039,Dragonwrath
DALA_BOSS_70e,54499,Bombardment Recharge Player Enchantment
DALA_BOSS_70h,54364,Sky Captain Smiggs
DALA_BOSS_70p,54365,Bombardment
DALA_BOSS_70px,56040,Bombardment
DALA_BOSS_71h,54441,Anarii Duskgrove
DALA_BOSS_71p,54442,Summon Protectors
DALA_BOSS_71px,56041,Summon Protectors
DALA_BOSS_72h,54443,Kazamon Steelskin
DALA_BOSS_72p,54444,Steelskin
DALA_BOSS_73e,57053,Earthmother's Rancor
DALA_BOSS_73ex,56043,Earthmother's Rancor
DALA_BOSS_73h,54445,Hesutu Stonewind
DALA_BOSS_73p,54446,Earthmother's Rage
DALA_BOSS_73px,56042,Earthmother's Rage
DALA_BOSS_74h,54447,Kara Stamper
DALA_BOSS_74p,54448,Soul Weave
DALA_BOSS_74px,56357,Soul Weave
DALA_BOSS_75e1,56383,Bear Liver Quest
DALA_BOSS_75e2,56426,Murloc Quest
DALA_BOSS_75e3,56427,Turtle Escort Quest
DALA_BOSS_75e4,56428,Herbalist Quest
DALA_BOSS_75e5,56429,Hogger Quest
DALA_BOSS_75h,54449,Commander Bolan
DALA_BOSS_75p,54450,A Quest!
DALA_BOSS_98h,56479,Bartendotron
DALA_BOSS_99h,52913,Bartender Bob
DALA_Barkeye,54550,Ol' Barkeye
DALA_Chu,54546,Mr. Chu
DALA_Druid_01,55671,Swarm
DALA_Druid_02,55672,Recovery
DALA_Druid_03,55673,"Choices, Choices"
DALA_Druid_04,55674,All Bark
DALA_Druid_05,55675,Nature's Wrath
DALA_Druid_06,55676,Feral Bite
DALA_Druid_07,55677,Nurture and Grow
DALA_Druid_08,55678,Roar!
DALA_Druid_09,55679,Protectors
DALA_Druid_10,55680,Beasts and Buffs
DALA_Druid_11,55681,Big Friends
DALA_Druid_12,55682,Legends
DALA_Druid_HP1,53275,Lifebloom
DALA_Druid_HP2,53277,Touch of Bark
DALA_Druid_HP2e,53278,Barky
DALA_Druid_HPe,55940,Druid Hero Power Watcher
DALA_Eudora,54548,Captain Eudora
DALA_George,54549,George the Fallen
DALA_Hunter_01,55737,Spells
DALA_Hunter_02,55738,Secretive
DALA_Hunter_03,55739,Deathrattle
DALA_Hunter_04,55740,Technological
DALA_Hunter_05,55741,Big Beasts
DALA_Hunter_06,55742,Tiny Trouble
DALA_Hunter_07,55743,Empowering
DALA_Hunter_08,55744,Aggression
DALA_Hunter_09,55745,Overwhelm
DALA_Hunter_10,55746,Professional
DALA_Hunter_11,55747,Battlecry
DALA_Hunter_12,55748,Legends
DALA_Hunter_HP1,53279,Opportunist
DALA_Hunter_HP1e,53280,Opportunist
DALA_Hunter_HP2,53281,Pet Training
DALA_Hunter_HP2e,56188,Shifting
DALA_Hunter_HP2t,53282,Shifting Chameleon
DALA_Hunter_HPe,55941,Hunter Hero Power Watcher
DALA_Kriziki,54554,Kriziki
DALA_Mage_01,55751,Multi-Cast
DALA_Mage_02,55752,Coldsnap
DALA_Mage_03,55753,Summoning
DALA_Mage_04,55754,Powered Up
DALA_Mage_05,55755,Go Big
DALA_Mage_06,55756,BURN!
DALA_Mage_07,55757,Elements
DALA_Mage_08,55758,Technology
DALA_Mage_09,55759,Fate's Hand
DALA_Mage_10,55760,Trade Secrets
DALA_Mage_11,55761,Inspired
DALA_Mage_12,55762,Legends
DALA_Mage_HP1,53283,Burning Wit
DALA_Mage_HP1e,53284,Witty
DALA_Mage_HP2,53285,Frostburn
DALA_Mage_HPe,55942,Mage Hero Power Watcher
DALA_Paladin_01,55695,Secret Whispers
DALA_Paladin_02,55696,Small Army
DALA_Paladin_03,55697,Dragons
DALA_Paladin_04,55698,Holy Infusions
DALA_Paladin_05,55699,Healing Hands
DALA_Paladin_06,55700,Handbuff
DALA_Paladin_07,55701,Murglgglgl
DALA_Paladin_08,55702,Robotic
DALA_Paladin_09,55706,The Silver Hand
DALA_Paladin_10,55707,Protectors
DALA_Paladin_11,55708,Judgment
DALA_Paladin_12,55709,Legends
DALA_Paladin_HP1,53286,Backup
DALA_Paladin_HP2,53287,Boon of Light
DALA_Paladin_HPe,55943,Paladin Hero Power Watcher
DALA_Priest_01,55646,Curatives
DALA_Priest_02,55647,Afterlife
DALA_Priest_03,55648,From the Graves
DALA_Priest_04,55649,Shadows
DALA_Priest_05,55650,What's Mind is Mine
DALA_Priest_06,55651,Old God
DALA_Priest_07,55652,Pint-Sized
DALA_Priest_08,55653,Dragonfire
DALA_Priest_09,55654,Twisted
DALA_Priest_10,55655,Strength Within
DALA_Priest_11,55656,Miracles
DALA_Priest_12,55657,Legends
DALA_Priest_HP1,53288,Distort
DALA_Priest_HP1e,53444,Distorted
DALA_Priest_HP2,53289,Soothe
DALA_Priest_HP2e,53290,Soothed
DALA_Priest_HPe,55947,Priest Hero Power Watcher
DALA_Rakanishu,54553,Rakanishu
DALA_Rogue_01,55658,Combo
DALA_Rogue_02,55659,Thief
DALA_Rogue_03,55660,Trickery
DALA_Rogue_04,55661,Kingslayer
DALA_Rogue_05,55662,Deathrattle
DALA_Rogue_06,55663,Cogs and Gears
DALA_Rogue_07,55664,Scallywags
DALA_Rogue_08,55665,Cutthroat
DALA_Rogue_09,55666,Draw!
DALA_Rogue_10,55667,Battlecry
DALA_Rogue_11,55668,Spellslinger
DALA_Rogue_12,55669,Legends
DALA_Rogue_HP1,53291,Yoink!
DALA_Rogue_HP2,53293,Cut-less
DALA_Rogue_HPe,55950,Rogue Hero Power Watcher
DALA_Shaman_01,55723,Flood
DALA_Shaman_02,55725,Spirits
DALA_Shaman_03,55726,Fishy
DALA_Shaman_04,55727,Overload
DALA_Shaman_05,55728,Big Shaman
DALA_Shaman_06,55729,Elemental Wrath
DALA_Shaman_07,55730,Battlecry
DALA_Shaman_08,55731,Sssspells
DALA_Shaman_09,55732,Carvings
DALA_Shaman_10,55733,Regeneration
DALA_Shaman_11,55734,Shifting Scales
DALA_Shaman_12,55735,Legends
DALA_Shaman_HP1,53294,Evolution
DALA_Shaman_HP2,53295,Refresh
DALA_Shaman_HPe,55952,Shaman Hero Power Watcher
DALA_Squeamlish,54551,Squeamlish
DALA_Tekahn,54552,Tekahn
DALA_Vessina,54547,Vessina
DALA_Warlock_01,55763,Big Demons
DALA_Warlock_02,55765,Swarming
DALA_Warlock_03,55766,Draw
DALA_Warlock_04,55768,Sacrifice
DALA_Warlock_05,55769,Pain
DALA_Warlock_06,55770,Discard
DALA_Warlock_07,55771,In Control
DALA_Warlock_08,55772,Destruction
DALA_Warlock_09,55773,Lil' Demons
DALA_Warlock_10,55774,Empowering
DALA_Warlock_11,55775,Curatives
DALA_Warlock_12,55776,Legend
DALA_Warlock_HP1,53296,Pain Split
DALA_Warlock_HP2,53297,The Pact
DALA_Warlock_HP2t,53298,Devious Imp
DALA_Warlock_HPe,55953,Warlock Hero Power Watcher
DALA_Warrior_01,55711,Mercenaries
DALA_Warrior_02,55712,Damaged
DALA_Warrior_03,55713,Big Minions
DALA_Warrior_04,55714,Bombs Away!
DALA_Warrior_05,55715,Rush
DALA_Warrior_06,55716,Iron and Steel
DALA_Warrior_07,55717,Dragon
DALA_Warrior_08,55718,Armored Up
DALA_Warrior_09,55719,Arsenal
DALA_Warrior_10,55720,All Might
DALA_Warrior_11,55721,Taunt
DALA_Warrior_12,55722,Legends
DALA_Warrior_HP1,53299,Invigorating Brew
DALA_Warrior_HP1e,53300,Invigorated
DALA_Warrior_HP2,53301,Undermine
DALA_Warrior_HP2t,53307,Improvised Explosive
DALA_Warrior_HPe,55955,Warrior Hero Power Watcher
DAL_007,51371,Rafaam's Scheme
DAL_008,51372,Dr. Boom's Scheme
DAL_009,51373,Hagatha's Scheme
DAL_010,51375,Togwaggle's Scheme
DAL_011,51376,Lazul's Scheme
DAL_011e,53987,Lazul's Curse
DAL_030,51567,Shadowy Figure
DAL_030e,54190,Shade
DAL_039,51714,Convincing Infiltrator
DAL_040,51715,Hench-Clan Shadequill
DAL_047,51722,Walking Fountain
DAL_049,51724,Underbelly Angler
DAL_052,51727,Muckmorpher
DAL_052e,53003,Muckmorphing
DAL_058,51733,Hecklebot
DAL_059,51734,Dimensional Ripper
DAL_060,51735,Clockwork Goblin
DAL_062,51737,Sweeping Strikes
DAL_062e,51748,Sweeping Strikes
DAL_062e2,95007,Sweeping Strikes Hero
DAL_063,51738,Wrenchcalibur
DAL_064,51739,Blastmaster Boom
DAL_065,51847,Unsleeping Soul
DAL_070,52086,The Boom Reaver
DAL_070e,53357,Reaving
DAL_071,52148,Mutate
DAL_077,52277,Toxfin
DAL_077e,52297,Toxic Fin
DAL_078,52278,Traveling Healer
DAL_081,52281,Spellward Jeweler
DAL_081e,52298,Sparkly
DAL_085,52285,Dalaran Crusader
DAL_086,52286,Sunreaver Spy
DAL_086e,53023,Stolen Secrets
DAL_087,52287,Hench-Clan Hag
DAL_087t,53019,Amalgam
DAL_087tw,53683,Amalgam
DAL_088,52288,Safeguard
DAL_088t2,53013,Vault Safe
DAL_089,52289,Spellbook Binder
DAL_090,52290,Hench-Clan Sneak
DAL_092,52292,Arcane Servant
DAL_095,52295,Violet Spellsword
DAL_095e,53010,Pizzazz
DAL_096,52296,Violet Warden
DAL_141,51705,Desperate Measures
DAL_141ts,54129,Desperate Measures
DAL_146,51757,Bronze Herald
DAL_146t,51758,Bronze Dragon
DAL_147,51761,Dragon Speaker
DAL_147e,51762,Dragon Shout
DAL_163,51943,Messenger Raven
DAL_173,51966,Darkest Hour
DAL_177,51971,Conjurer's Calling
DAL_177ts,52637,Conjurer's Calling
DAL_182,51977,Magic Dart Frog
DAL_185,52058,Aranasi Broodmother
DAL_256,52819,The Forest's Aid
DAL_256t2,53302,Treant
DAL_256ts,52821,The Forest's Aid
DAL_350,51769,Crystal Power
DAL_350a,51773,Piercing Thorns
DAL_350b,51775,Healing Blossom
DAL_351,51779,Blessing of the Ancients
DAL_351e,52820,Ancient Blessings
DAL_351ts,54128,Blessing of the Ancients
DAL_352,51781,Crystalsong Portal
DAL_354,51790,Acornbearer
DAL_354t,54315,Squirrel
DAL_355,51791,Lifeweaver
DAL_357,51795,Lucentbark
DAL_357t,51796,Spirit of Lucentbark
DAL_366,51827,Unidentified Contract
DAL_366t1,53241,Assassin's Contract
DAL_366t2,52875,Recruitment Contract
DAL_366t3,53244,Lucrative Contract
DAL_366t4,53246,Turncoat Contract
DAL_371,52070,Marked Shot
DAL_372,52072,Arcane Fletcher
DAL_373,52076,Rapid Fire
DAL_373ts,54143,Rapid Fire
DAL_376,52081,Oblivitron
DAL_377,52082,Nine Lives
DAL_378,52089,Unleash the Beast
DAL_378t1,54146,Wyvern
